url_hash,channel,banned_march,banned_april
10626,Fall Cabal,R,R
10629,Autumn Targeted in NZ,N,R
10633,A SIMULATED REALITY,N,N
10637,Jacek Babiak,N,N
10640,ConnectQ,N,R
10642,,R,R
10648,ANTHONY STEELE,N,N
10649,Baked Blunts,N,R
10655,Spiro Skouras,N,N
10662,The Truth Is From God,N,N
10664,C Hitt,N,N
10666,Enchanted LifePath,N,N
10668,George Webb,N,R
10674,Robert David STEELE Vivas #UNRIG,N,R
10680,Grace Bride,N,N
10684,Spiro Skouras,N,N
10685,The Ministry of Truth KMK,N,N
10686,chris dorsey & the Militia #5,N,N
10687,ANTHONY STEELE,N,R
10688,OPENTOON 24,N,N
10690,STRANGER THAN FICTION NEWS,N,N
10691,DeceptionBytes,N,N
10694,Voice of Guo Media,N,N
10698,Angel White,N,N
10702,Michael Salla,N,N
10703,,R,R
10704,David Icke,N,R
10705,Press For Truth,N,N
10708,Renaissance Horizon,N,N
10712,Peekay Censored,N,N
10719,Pastor Mark,N,N
10721,Rachel Celler  RN,N,N
10722,Pakistan First,N,N
10725,Bryan Tew,N,R
10728,The Common Sense Show,N,N
10729,The Last American Vagabond,N,N
10730,Five Minute Conspiracies,N,N
10734,SYMPAN U.O.,N,N
10736,Blacktegrity TV,N,R
10738,RichieFromBoston,N,R
10741,Bellow News,N,N
10747,HKBNews,N,N
10748,The Last American Vagabond,N,N
10749,,R,R
10751,AfriSynergyNews,N,N
10757,Lamarr Townsend Tarot,N,N
10758,The Last American Vagabond,N,N
10759,,R,R
10763,The Common Sense Show,N,N
10767,David Icke,N,R
10768,Agent Margaritaville,N,N
10769,Yummy Mummy Emporium & Apothecary,N,N
10773,Dude With A Laptop,N,N
10778,Invisible Ships Podcast,N,N
10782,STRANGER THAN FICTION NEWS,N,N
10783,新紀元,N,N
10788,#WeMUSTUnite,N,N
10789,Francis Myles,N,N
10969,Spiro Skouras,N,N
