url_hash,facebook_shares,twitter_shares,source_credibility,misinformation
1325,21,0,alternative,1
1327,24,1,alternative,1
1328,24,4,alternative,1
1329,8,1,alternative,1
1330,23,2,alternative,1
1331,25,1,alternative,1
1332,24,1,alternative,1
1344,6,3,alternative,1
1356,86,23,alternative,1
1357,134,7,alternative,1
1358,281,21,alternative,1
1359,73,10,alternative,1
1378,131,0,alternative,1
1383,17000,49,alternative,1
1384,428,162,alternative,1
1393,64,0,alternative,1
1398,16,5,mainstream,1
1399,137,8,alternative,1
1402,22000,42,alternative,1
1403,106,291,alternative,1
1407,1,1,alternative,1
1411,176,61,alternative,1
1423,378,7,alternative,1
1424,31,85,alternative,1
1425,237,104,alternative,1
1426,16,60,alternative,1
1427,180,59,alternative,1
1430,59000,217000,alternative,1
1448,74,220,alternative,1
1453,686,893,alternative,1
1457,64,326,alternative,1
1458,2000,3000,alternative,1
1459,130,248,alternative,1
1460,167,241,alternative,1
1462,1000,16000,alternative,1
1463,936,746,alternative,1
1464,478,545,alternative,1
1465,754,728,alternative,1
1467,11000,650,alternative,1
1481,21000,12000,alternative,1
1486,86,22,alternative,1
1500,158,16,alternative,1
1503,97,0,alternative,1
1504,20,0,alternative,1
1507,102,9,alternative,1
1508,72,12,alternative,1
1510,22000,7,alternative,1
1522,909,188,alternative,1
1528,1,32,alternative,1
1593,17,2,socialmedia,1
1595,23,1,socialmedia,1
1616,156000,124000,mainstream,2
1617,1000,22000,mainstream,2
1618,18,54,mainstream,2
1620,165,81,alternative,1
1636,56,2,alternative,1
1637,14,0,alternative,1
1640,31,18,alternative,1
1648,888,524,mainstream,2
1677,3,0,alternative,1
1678,5,2,alternative,1
1680,12,6,alternative,1
1681,273,1,socialmedia,1
1697,0,2,mainstream,1
1719,5,0,mainstream,1
1727,141000,256,mainstream,1
1732,96,14,mainstream,1
1739,653,18,mainstream,1
1740,289,20,mainstream,1
1743,46,4,mainstream,1
1750,21000,227,mainstream,1
1751,119,114,mainstream,1
1772,74,0,alternative,1
1781,13000,57,socialmedia,2
1782,35000,97,socialmedia,2
1785,149,12,socialmedia,1
1789,119000,127,alternative,1
1790,46,13,alternative,1
1796,948,27000,mainstream,2
1808,13000,11,alternative,1
1845,144,3,alternative,1
1851,395,0,socialmedia,1
1853,15000,333,alternative,1
1858,65,14,alternative,1
1859,126,11,alternative,1
1860,11000,27000,alternative,1
1881,25,0,alternative,1
1883,5,120,alternative,1
1885,27000,58000,alternative,1
1890,40,2,alternative,1
1892,220,63,alternative,1
1893,133,22,alternative,1
1894,78,9,alternative,1
1896,533,86,alternative,1
1898,243,4,socialmedia,1
1899,437,5,alternative,1
1958,23,41,mainstream,2
1961,46000,599,alternative,1
1991,9,3,alternative,1
1995,14,8,alternative,1
1996,10,1,alternative,1
1999,248,35,alternative,1
2001,80,94,alternative,1
2007,6,590,alternative,1
2010,13,1,alternative,1
2011,33,0,alternative,1
2015,673,48,mainstream,2
2030,325,6,alternative,1
2031,23,0,alternative,1
2040,10,16,alternative,1
2075,973,11,alternative,1
2076,12000,3,alternative,1
2077,340,7,alternative,1
2086,906,5,alternative,1
2105,37,8,alternative,1
2106,116,17,alternative,1
2108,182,154,alternative,1
2109,75,16,alternative,1
2110,109,14,alternative,1
2111,97,14,alternative,1
2112,301,57,alternative,1
2118,88,1,socialmedia,1
2120,46,0,socialmedia,1
2121,201,591,alternative,1
2147,1896000,152000,mainstream,1
2158,12000,35,alternative,1
2202,201,2,alternative,1
2203,145,39,alternative,1
2205,22000,5,alternative,1
2208,176,21,alternative,2
2213,23,0,socialmedia,2
2214,4,1,alternative,1
2215,33,1,alternative,1
2219,4,1,socialmedia,1
2224,53000,683,mainstream,2
2225,28,1,mainstream,2
2227,112000,11000,mainstream,2
2229,246000,0,mainstream,2
2231,290,55,mainstream,2
2232,263000,143000,mainstream,2
2234,270,38,mainstream,2
2235,17,12,mainstream,2
2239,33000,604,alternative,1
2240,139,13,alternative,1
2241,28,15,alternative,1
2248,9,0,socialmedia,1
2253,301,102,socialmedia,1
2254,1,1,socialmedia,1
2256,3000,1,alternative,1
2260,134,97,alternative,1
2262,879,18,alternative,1
2266,0,0,alternative,1
2272,36,221,socialmedia,1
2273,76,4,alternative,1
2289,158,10,alternative,1
2291,4,0,alternative,1
2300,89000,282,alternative,1
2301,347,35,alternative,1
2302,98,18,alternative,1
2303,152,50,alternative,1
2306,12000,666,mainstream,2
2309,23,2,mainstream,2
2310,414,17000,mainstream,2
2328,806,300,alternative,1
2338,603,52,alternative,1
2344,5,1,alternative,1
2349,1,2,alternative,1
2350,1,2,mainstream,1
2351,192,14,alternative,1
2362,51,2,alternative,1
2365,11,12,alternative,1
2366,105000,134,alternative,1
2367,1,0,alternative,1
2390,3,1,alternative,1
2394,78,22,alternative,1
2395,18000,16,alternative,1
2397,16,11,alternative,1
2405,39,6,alternative,1
2406,351,201,alternative,1
2410,65,4,alternative,1
2423,19,3,alternative,1
2424,74,4,alternative,1
2428,3,0,alternative,1
2431,156,30,alternative,1
2433,67,71,alternative,1
2434,234,444,alternative,1
2435,397,228,mainstream,2
2436,145,32,alternative,1
2437,125000,588,alternative,1
2439,44,40,alternative,1
2449,21,1,alternative,1
2450,34,11,alternative,1
2451,34,21,alternative,1
2452,42,8,alternative,1
2453,7,7,alternative,1
2454,133,0,alternative,1
2455,12,17,alternative,1
2456,77,16,alternative,1
2457,5,0,alternative,1
2459,2000,175,alternative,1
2461,9,2,alternative,1
2466,7,3,alternative,1
2468,205,3,alternative,1
2475,213,57,alternative,1
2498,0,3,alternative,1
2500,43,28,alternative,1
2509,17,0,alternative,1
2513,2,1,alternative,1
2520,31,0,alternative,1
2526,3,1,alternative,1
2527,893,8,alternative,1
2529,177,573,socialmedia,1
2530,14,0,alternative,1
2535,66,2,alternative,1
2581,30,18,alternative,1
2586,343,752,alternative,1
2587,8,6,alternative,1
2596,21,47,alternative,1
2637,17000,278,alternative,1
2638,16,85,alternative,1
2667,886,51,alternative,1
2669,11,3,mainstream,1
2670,161,7,mainstream,1
2672,1,0,alternative,1
2681,151,26,socialmedia,1
2682,23,17,socialmedia,1
2684,533,702,socialmedia,1
2704,241,17,alternative,1
2709,33000,1,alternative,1
2711,352,248,alternative,1
2725,94,27,alternative,1
2727,170,783,alternative,1
2728,9,201,alternative,1
2729,81,969,alternative,1
2730,12000,15000,alternative,1
2732,201,48,alternative,1
3467,12000,31,mainstream,1
3479,1000,131,mainstream,1
3480,1000,131,mainstream,1
3481,73,20,mainstream,1
3482,73,20,mainstream,1
3488,13000,541,alternative,2
3491,25,0,alternative,1
3522,1,1,alternative,1
3525,2,1,mainstream,1
3533,101000,16,alternative,1
3542,37,1,alternative,1
3546,98,96,mainstream,1
3564,105,4,alternative,1
3607,94,5,alternative,1
3608,31,2,alternative,1
3617,325,81,alternative,1
3618,654,123,alternative,1
3619,124,40,alternative,1
3620,301,63,alternative,1
3622,64,1,alternative,1
3623,272,22,alternative,1
3660,853000,25000,mainstream,1
3684,206,85,alternative,1
